b = 147350804865, a = 126, e = 6, n = 1284717778837
b = 341719578178, a = 127, e = 6, n = 1284717778837
b = 543893174593, a = 128, e = 6, n = 1284717778837
b = 754120326210, a = 129, e = 6, n = 1284717778837
b = 972655663489, a = 130, e = 6, n = 1284717778837
b = 1199759807770, a = 131, e = 6, n = 1284717778837
b = 150981685676, a = 132, e = 6, n = 1284717778837
b = 396029738421, a = 133, e = 6, n = 1284717778837
b = 650465343468, a = 134, e = 6, n = 1284717778837
b = 914574025277, a = 135, e = 6, n = 1284717778837
b = 1188647772588, a = 136, e = 6, n = 1284717778837
b = 188267356424, a = 137, e = 6, n = 1284717778837
b = 483173542999, a = 138, e = 6, n = 1284717778837
b = 788960518976, a = 139, e = 6, n = 1284717778837
b = 1105947105815, a = 140, e = 6, n = 1284717778837
b = 149741301819, a = 141, e = 6, n = 1284717778837
b = 490111497922, a = 142, e = 6, n = 1284717778837
b = 842679905827, a = 143, e = 6, n = 1284717778837
b = 1207793775234, a = 144, e = 6, n = 1284717778837
b = 301089938766, a = 145, e = 6, n = 1284717778837
b = 692366030637, a = 146, e = 6, n = 1284717778837
b = 1097273917670, a = 147, e = 6, n = 1284717778837
b = 231473140568, a = 148, e = 6, n = 1284717778837
b = 664784355905, a = 149, e = 6, n = 1284717778837
b = 1112882769304, a = 150, e = 6, n = 1284717778837
b = 291451578868, a = 151, e = 6, n = 1284717778837
b = 770335419331, a = 152, e = 6, n = 1284717778837
b = 1265233797396, a = 153, e = 6, n = 1284717778837
b = 491854537326, a = 154, e = 6, n = 1284717778837
b = 1020067227255, a = 155, e = 6, n = 1284717778837
b = 280878877849, a = 156, e = 6, n = 1284717778837
b = 844176264242, a = 157, e = 6, n = 1284717778837
b = 140983807300, a = 158, e = 6, n = 1284717778837
b = 741205916997, a = 159, e = 6, n = 1284717778837
b = 75884875119, a = 160, e = 6, n = 1284717778837
b = 714943180080, a = 161, e = 6, n = 1284717778837
b = 89441431066, a = 162, e = 6, n = 1284717778837
b = 769320674291, a = 163, e = 6, n = 1284717778837
b = 167360167375, a = 163, e = 12, n = 1284717778837
b = 970151807919, a = 164, e = 12, n = 1284717778837
